# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
W,1000x300x272,2.72,990,300,16.5,31,30,346.8,928.1,868.1,M27,134,194,3.095,11.37,553800,11190,12820,39.96,184.6,14000,933.6,1470,6.35,113.6,822.4,32070000
W,1000x300x314,3.14,1000,300,19.1,35.9,30,400.4,928.1,868.1,M27,136,194,3.11,9.895,644200,12880,14850,40.11,213.4,16230,1082,1713,6.37,126,1252,37540000
W,1000x300x350,3.5,1008,302,21.1,40,30,445.1,928.1,868.1,M27,140,196,3.13,8.958,723000,14340,16590,40.3,236,18460,1223,1941,6.44,136.2,1707,43020000
W,1000x300x393,3.93,1016,303,24.4,43.9,30,500.2,928.1,868.1,M27,142,198,3.144,8.006,807700,15900,18540,40.18,271.3,20500,1353,2168,6.4,147.3,2332,48080000
W,1000x300x415,4.15,1020,304,26,46,30,528.7,928.1,868.1,M27,144,198,3.152,7.596,853100,16730,19570,40.17,288.6,21710,1428,2298,6.41,153.1,2713,51080000
W,1000x300x438,4.38,1026,305,26.9,49,30,556.3,928.1,868.1,M27,146,200,3.167,7.252,909200,17720,20750,40.43,299.9,23360,1531,2463,6.48,160,3190,55290000
W,1000x300x486,4.86,1036,308,30,54.1,30,619.3,928.1,868.1,M27,148,202,3.192,6.567,1020000,19690,23170,40.58,334.8,26590,1727,2792,6.55,173.3,4319,63500000
W,1000x300x494,4.94,1036,309,31,54,30,629.1,928.1,868.1,M27,148,204,3.194,6.468,1028000,19840,23410,40.42,344.5,26820,1736,2818,6.53,174.1,4433,64010000
W,1000x300x584,5.84,1056,314,36,64,30,743.7,928.1,868.1,M27,154,208,3.244,5.557,1246000,23600,28040,40.93,403.2,33430,2130,3475,6.7,199.1,7230,81240000
W,1000x400x296,2.96,982,400,16.5,27.1,30,377.6,928.1,868.1,M27,134,294,3.479,11.74,620300,12630,14260,40.53,181.5,28960,1448,2243,8.76,105.8,762.6,65900000
W,1000x400x321,3.21,990,400,16.5,31,30,408.8,928.1,868.1,M27,134,294,3.495,10.89,696400,14070,15800,41.27,184.6,33120,1656,2555,9,113.6,1021,76030000
W,1000x400x371,3.71,1000,400,19,36.1,30,472.8,928.1,868.1,M27,136,294,3.51,9.458,813700,16270,18360,41.49,212.5,38580,1929,2984,9.03,126.3,1575,89440000
W,1000x400x412,4.12,1008,402,21.1,40,30,525.1,928.1,868.1,M27,140,296,3.53,8.564,910500,18070,20460,41.64,236,43400,2160,3349,9.09,136.2,2134,101500000
W,1000x400x443,4.43,1012,402,23.6,41.9,30,563.7,928.1,868.1,M27,142,296,3.533,7.985,966500,19100,21780,41.41,261.8,45500,2264,3529,8.98,142.5,2545,106700000
W,1000x400x483,4.83,1020,404,25.4,46,30,615.1,928.1,868.1,M27,144,298,3.554,7.36,1067000,20930,23920,41.66,282.7,50710,2510,3919,9.08,152.5,3311,119900000
W,1000x400x539,5.39,1030,407,28.4,51.1,30,687.2,928.1,868.1,M27,146,302,3.58,6.636,1203000,23350,26820,41.83,316.4,57630,2832,4436,9.16,165.7,4546,137600000
W,1000x400x554,5.54,1032,408,29.5,52,30,705.8,928.1,868.1,M27,150,296,3.585,6.471,1232000,23880,27500,41.79,328,59100,2897,4547,9.15,168.6,4860,141300000
W,1000x400x591,5.91,1040,409,31,55.9,30,752.7,928.1,868.1,M27,148,304,3.602,6.097,1331000,25600,29530,42.05,346.3,64010,3130,4916,9.22,177.9,5927,154300000
W,1000x400x642,6.42,1048,412,34,60,30,817.6,928.1,868.1,M27,154,300,3.624,5.647,1451000,27680,32100,42.12,379.6,70280,3412,5379,9.27,189.1,7440,170700000
W,1000x400x748,7.48,1068,417,39,70,30,953.4,928.1,868.1,M27,160,304,3.674,4.909,1732000,32430,37880,42.62,438.9,85110,4082,6459,9.45,214.1,11670,210600000
W,1000x400x883,8.83,1092,424,45.5,82,30,1125,928.1,868.1,M27,166,312,3.737,4.231,2096000,38390,45260,43.16,516.5,105000,4952,7874,9.66,244.6,18750,265700000
W,1000x400x976,9.76,1108,428,50,89.9,30,1243,928.1,868.1,M27,172,316,3.776,3.875,2349000,42400,50300,43.5,570.7,118500,5538,8839,9.77,264.9,24770,304400000
W,1100x400x343,3.43,1090,400,18,31,30,440.7,1028,968,M27,128,310,3.692,10.67,878360,16110,18280,44.64,216.9,33130,1657,2575,8.67,115.1,1105,92910000
W,1100x400x390,3.9,1100,400,20,36,30,501.3,1028,968,M27,130,310,3.708,9.423,1016300,18480,21000,45.02,242.1,38490,1924,2995,8.76,127.1,1649,108900000
W,1100x400x433,4.33,1108,402,22,40,30,555.4,1028,968,M27,132,312,3.728,8.55,1136500,20510,23380,45.23,266.6,43430,2160,3370,8.85,137.1,2229,123800000
W,1100x400x499,4.99,1118,405,26,45,30,639.5,1028,968,M27,136,315,3.752,7.475,1305000,23340,26820,45.17,313.7,50010,2469,3879,8.84,151.1,3253,143900000
W,1100x400x548,5.48,1128,407,28,50,30,702.5,1028,968,M27,138,317,3.776,6.848,1456600,25820,29730,45.53,339.5,56410,2771,4358,8.96,163.1,4344,163800000
W,1100x400x607,6.07,1138,410,31,55,30,777.4,1028,968,M27,141,320,3.802,6.231,1624100,28540,33000,45.7,376.4,63470,3096,4886,9.03,176.1,5789,186100000
HP,200x43,0.43,200,205,9,9,10,54.14,182,162,M24,96,112,1.185,27.88,3888,388.8,434.5,8.47,19.85,1294,126.2,193.4,4.89,38.72,17.68,117900
HP,200x53,0.53,204,207,11.3,11.3,10,68.4,181.1,161.1,M24,98,114,1.196,22.36,4977,488,551.3,8.55,24.89,1673,161.7,248.6,4.96,45.62,34.2,155100
HP,250x62,0.62,246,256,10.5,10.7,13,80,225,199,M27,104,150,1.473,23.5,8753,711.6,792.8,10.47,28.94,2995,234,358,6.13,47.13,37.02,414100
HP,250x85,0.85,254,260,14.4,14.4,13,108,225,199,M27,108,154,1.497,17.53,12300,968.9,1096,10.64,39.7,4225,325,499.9,6.23,58.43,89.32,605400
HP,310x79,0.79,299,306,11,11,15,100,277.1,247.1,M27,104,200,1.774,22.67,16270,1088,1207,12.77,36.91,5258,343.6,525.1,7.26,50.57,50.3,1089000
HP,310x93,0.93,303,308,13.1,13.1,15,119,277.1,247.1,M27,106,202,1.786,19.14,19630,1296,1447,12.85,43.84,6387,414.7,635.1,7.33,56.87,82.53,1340000
HP,310x110,1.1,308,310,15.4,15.5,15,141,277.1,247.1,M27,108,204,1.799,16.29,23660,1536,1727,12.97,51.63,7707,497.2,763.3,7.4,63.97,133.1,1646000
HP,310x125,1.25,312,312,17.4,17.4,15,159,277.1,247.1,M27,110,206,1.811,14.54,27030,1733,1960,13.05,58.41,8823,565.6,870.2,7.46,69.77,188.2,1911000
HP,310x132,1.32,314,313,18.3,18.3,15,167.3,277.1,247.1,M27,112,208,1.818,13.84,28680,1827,2072,13.1,61.53,9370,598.7,922.1,7.48,72.47,218.5,2044000
HP,360x108,1.08,346,370,12.8,12.8,15,138,320,290,M27,102,264,2.121,19.62,30290,1751,1937,14.83,48.42,10810,584.5,891.2,8.86,55.97,88.99,2999000
HP,360x132,1.32,351,373,15.6,15.6,15,168,320,290,M27,104,268,2.137,16.19,37480,2135,2381,14.93,58.93,13510,724.2,1107,8.96,64.37,158,3795000
HP,360x152,1.52,356,376,17.9,17.9,15,194,320,290,M27,106,270,2.154,14.16,43880,2465,2765,15.04,67.82,15880,844.5,1293,9.05,71.27,237.1,4532000
HP,360x174,1.74,361,378,20.4,20.4,15,222,320,290,M27,110,272,2.167,12.47,50840,2816,3180,15.15,77.53,18390,973,1493,9.11,78.77,349.1,5326000
HG,10B1,0.081,100,55,4.1,5.7,7,10.32,88.6,74.6,0,0,0,0.4,49.33,171.01,34.202,39.406,4.07,5.084,15.918,5.788,9.145,1.241,23.701,1.157,353
HG,12B1,0.087,117.6,64,3.8,5.1,7,11.03,107.4,93.4,0,0,0,0.472,54.47,257.36,43.768,49.87,4.83,5.409,22.389,6.996,10.978,1.424,22.201,0.996,708
HG,12B2,0.104,120,64,4.4,6.3,7,13.21,107.4,93.4,0,0,0,0.475,45.82,317.75,52.958,60.725,4.904,6.305,27.668,8.646,13.58,1.447,25.201,1.69,894
HG,14B1,0.105,137.4,73,3.8,5.6,7,13.39,126.2,112.2,0,0,0,0.547,52.05,434.86,63.298,71.598,5.698,6.213,36.423,9.979,15.522,1.649,23.201,1.338,1581
HG,14B2,0.129,140,73,4.7,6.9,7,16.43,126.2,112.2,0,0,0,0.551,42.7,541.22,77.317,88.344,5.74,7.642,44.917,12.306,19.246,1.653,26.701,2.399,1989
HG,16B1,0.127,157,82,4,5.9,9,16.18,145.2,127.2,0,0,0,0.619,48.7,689.27,87.805,99.093,6.527,7.801,54.426,13.274,20.695,1.834,26.344,1.934,3106
HG,16B2,0.158,160,82,5,7.4,9,20.09,145.2,127.2,0,0,0,0.623,39.47,869.29,108.66,123.85,6.577,9.657,68.314,16.662,26.099,1.843,30.344,3.54,3977
HG,18B1,0.154,177,91,4.3,6.5,9,19.58,164,146,M10,48,48,0.694,45.15,1062.7,120.08,135.32,7.367,9.196,81.885,17.996,27.96,2.045,27.844,2.673,5951
HG,18B2,0.188,180,91,5.3,8,9,23.95,164,146,M10,48,48,0.698,37.13,1316.9,146.32,166.41,7.415,11.251,100.85,22.164,34.599,2.052,31.844,4.726,7458
HG,20B1,0.213,200,100,5.5,8,11,27.16,184,162,M10,54,54,0.77,36.12,1844.2,184.42,209.45,8.24,13.358,133.91,26.782,41.932,2.22,34.387,5.766,12341
HG,25B1,0.257,248,124,5,8,12,32.68,232,208,M12,58,70,0.961,37.48,3537.1,285.25,319.36,10.404,15.156,254.85,41.105,63.594,2.792,35.058,6.736,36698
HG,25B2,0.296,250,125,6,9,12,37.66,232,208,M12,60,72,0.967,32.73,4051.7,324.13,365.86,10.372,17.856,293.84,47.015,73.102,2.793,38.058,9.679,42667
HG,30B1,0.32,298,149,5.5,8,13,40.8,282,256,M16,68,84,1.159,36.18,6318.2,424.04,475.05,12.444,19.48,442,59.328,91.756,3.291,36.73,8.654,92930
HG,30B2,0.367,300,150,6.5,9,13,46.78,282,256,M16,68,84,1.165,31.72,7209.2,480.61,542.11,12.414,22.705,507.53,67.67,105.12,3.293,39.73,12.365,107440
HG,35B1,0.414,346,174,6,9,14,52.68,328,300,M20,76,96,1.352,32.69,11094,641.29,716.18,14.511,24.422,791.54,90.981,140.22,3.876,40.402,13.637,224730
HG,35B2,0.496,350,175,7,11,14,63.14,328,300,M20,78,98,1.362,27.48,13559,774.8,867.91,14.653,28.492,984.34,112.49,173.57,3.948,45.402,22.991,282800
HG,40B1,0.566,396,199,7,11,16,72.16,374,342,M24,88,110,1.547,27.3,20018,1011,1127.8,16.656,32.667,1447.1,145.44,223.94,4.478,47.745,27.083,536250
HG,40B2,0.66,400,200,8,13,16,84.12,374,342,M24,90,110,1.557,23.57,23704,1185.2,1326.2,16.786,37.317,1736.3,173.63,267.64,4.543,52.745,42.163,650140
HG,45B1,0.662,446,199,8,12,18,84.3,422,386,M24,94,110,1.641,24.8,28697,1286.8,1450.1,18.45,41.821,1580,158.79,246.58,4.329,53.088,38.267,744010
HG,45B2,0.76,450,200,9,14,18,96.76,422,386,M24,94,110,1.651,21.74,33450,1486.6,1679,18.593,47.061,1871.5,187.15,290.91,4.397,58.088,56.91,889440
HG,50B1,0.725,492,199,8.8,12,20,92.38,468,428,M24,98,110,1.728,23.83,36841,1497.6,1706.9,19.97,50.473,1581.9,158.99,249.71,4.138,56.231,44.824,911200
HG,50B2,0.795,496,199,9,14,20,101.27,468,428,M24,98,110,1.736,21.83,41869,1688.2,1914.4,20.332,52.413,1844.8,185.41,289.76,4.268,60.431,60.794,1071500
HG,50B3,0.897,500,200,10,16,20,114.23,468,428,M24,100,110,1.746,19.47,47846,1913.8,2175.1,20.465,58.233,2140.7,214.07,334.95,4.329,65.431,85.879,1253700
HG,20S1,0.3901,194,150,6,9,13,30.6,176,150,M16,66,96,0.953681409,39.70198614,2689.7,277.29,308.55,8.303,14.89,507.15,67.621,103.69,3.605,39.23,10.904,43393
HG,30S1,0.568,294,200,8,12,18,72.38,270,234,M24,94,110,1.341,23.6,11338,771.31,859.02,12.515,29.661,1603.2,160.32,246.55,4.706,53.088,35.788,318740
HG,30S2,0.686,300,201,9,15,18,87.38,270,234,M24,94,112,1.355,19.76,14209,947.3,1059.7,12.752,33.831,2034.1,202.4,310.84,4.824,60.088,62.357,413050
HG,20K1,0.414,196,199,6.5,10,13,52.69,176,150,M24,82,110,1.153,27.87,3846,392.45,432.82,8.543,16.14,1314.4,132.1,200.75,4.994,41.73,17.594,113680
HG,20K2,0.499,200,200,8,12,13,63.53,176,150,M24,84,110,1.162,23.29,4715.6,471.56,525.49,8.615,19.61,1601.5,160.15,243.81,5.02,47.23,29.812,141510
HG,25K1,0.626,246,249,8,12,16,79.72,222,190,M27,96,148,1.445,23.08,9170.9,745.6,821.36,10.725,24.757,3090,248.19,377.22,6.225,50.745,38.587,422990
HG,25K2,0.724,250,250,9,14,16,92.18,222,190,M27,96,148,1.455,20.1,10832,866.6,960.49,10.84,27.917,3648.8,291.9,443.76,6.291,55.745,58.741,508060
HG,30K1,0.87,298,299,9,14,18,110.8,270,234,M27,100,198,1.743,20.04,18848,1265,1389.2,13.042,33.381,6241.1,417.47,633.64,7.505,58.088,71.327,1258400
HG,30K2,0.94,300,300,10,15,18,119.78,270,234,M27,102,198,1.749,18.6,20410,1360.6,1501.1,13.053,36.681,6754.8,450.32,684.25,7.509,61.088,88.142,1371600
HG,30K3,1.058,300,305,15,15,18,134.78,270,234,M27,106,204,1.759,16.63,21535,1435.6,1613.6,12.64,50.931,7104.7,465.88,716.07,7.26,66.088,116.4,1442700
HG,40K1,1.466,394,398,11,18,22,186.81,358,314,M27,110,296,2.32,15.82,56145,2850,3118.4,17.336,53.434,18922,950.88,1440.7,10.064,72.774,193.92,6688000
HG,40K2,1.717,400,400,13,21,22,218.69,358,314,M27,112,298,2.336,13.61,66621,3331,3672.4,17.453,62.664,22412,1120.6,1699.8,10.123,80.774,303.4,8048400
HG,40K3,2.001,406,403,16,24,22,254.87,358,314,M27,116,302,2.354,11.77,78039,3844.2,4279.6,17.498,75.834,26200,1300.2,1977.1,10.138,89.774,461.73,9558000
HG,40K4,2.319,414,405,18,28,22,295.39,358,314,M27,118,304,2.374,10.24,92771,4481.6,5026.3,17.721,85.954,31026,1532.1,2331.1,10.248,99.774,713.93,11557000
HG,40K5,2.908,429,400,23,35.5,22,370.49,358,314,M27,124,298,2.374,8.16,120290,5607.9,6396.9,18.018,110.27,37914,1895.7,2894.1,10.116,119.77,1416.4,14677000
H,100x100x6x8,0.169,100,100,6,8,8,21.59,84,68,M10,52,56,0.57,33.9,378,75.6,86.4,4.18,7.35,134,26.7,41,2.49,31.4,4.91,2820
H,125x125x6.5x9,0.236,125,125,6.5,9,8,30,107,91,M16,56,62,0.72,30.7,839,134,152,5.29,9.53,293,46.9,71.7,3.13,33.9,8.1,9860
H,150x75x5x7,0.14,150,75,5,7,8,17.85,136,120,0,0,0,0.58,41.1,666,88.8,102,6.11,8.82,49.5,13.2,20.8,1.66,28.4,2.9,2520
H,150x150x7x10,0.311,150,150,7,10,8,39.65,130,114,M20,72,76,0.87,28,1620,216,243,6.4,12,563,75.1,114,3.77,36.4,12.7,27600
H,175x175x7.5x11,0.404,175,175,7.5,11,13,51.42,153,127,M24,82,88,1.01,25.1,2900,331,370,7.5,16.6,984,112,172,4.37,44.7,21.34,66100
H,200x100x4.5x7,0.178,198,99,4.5,7,8,22.69,184,168,M10,54,56,0.77,43.2,1540,156,175,8.25,10.3,113,22.9,35.5,2.24,27.9,3.32,10300
H,200x100x5.5x8,0.209,200,100,5.5,8,8,26.67,184,168,M10,54,56,0.78,37,1810,181,205,8.23,12.4,134,26.7,41.6,2.24,30.9,5.17,12300
H,200x150x6x9,0.299,194,150,6,9,8,38.11,176,160,M20,66,76,0.96,32.2,2630,271,301,8.3,13.1,507,67.6,103,3.65,33.4,9.42,43300
H,200x200x8x12,0.499,200,200,8,12,13,63.53,176,150,M27,92,102,1.16,23.3,4720,472,525,8.62,19.6,1600,160,244,5.02,47.2,30.16,141000
H,250x125x5x8,0.251,248,124,5,8,8,31.99,232,216,M12,58,74,0.97,38.6,3450,278,312,10.4,13.8,255,41.1,63.2,2.82,30.4,5.8,36600
H,250x125x6x9,0.29,250,125,6,9,8,36.97,232,216,M12,58,74,0.97,33.6,3960,317,358,10.4,16.5,294,47,72.7,2.82,33.4,8.61,42500
H,250x250x9x14,0.718,250,250,9,14,13,91.43,222,196,M27,100,150,1.46,20.3,10700,860,953,10.8,26.3,3650,292,443,6.32,52.2,56.24,508000
H,300x150x5.5x8,0.32,298,149,5.5,8,13,40.8,282,256,M16,76,86,1.16,36.2,6320,424,475,12.4,19.5,442,59.3,91.8,3.29,36.7,8.79,92700
H,300x150x6.5x9,0.367,300,150,6.5,9,13,46.78,282,256,M16,76,88,1.17,31.7,7210,481,542,12.4,22.7,508,67.7,105,3.29,39.7,12.73,107000
H,300x200x8x12,0.558,294,200,8,12,13,71.05,270,244,M27,90,102,1.35,24.2,11100,756,842,12.5,27.1,1600,160,245,4.75,47.2,31.8,318000
H,300x300x10x15,0.93,300,300,10,15,13,118.5,270,244,M27,102,200,1.76,18.9,20200,1350,1480,13.1,33.9,6750,450,683,7.55,55.2,82.87,1370000
H,350x175x6x9,0.412,346,174,6,9,13,52.45,328,302,M22,90,92,1.35,32.9,11000,638,712,14.5,24,791,91,140,3.88,39.2,13.28,224000
H,350x175x7x11,0.494,350,175,7,11,13,62.91,328,302,M22,92,92,1.36,27.6,13500,771,864,14.6,28,984,112,173,3.96,44.2,22.47,282000
H,350x350x10x16,1.13,344,348,10,16,13,144,312,286,M27,106,248,2.04,18,32800,1910,2090,15.1,38.4,11240,646,978,8.84,57.2,111.6,3020000
H,350x350x12x19,1.35,350,350,12,19,13,171.9,312,286,M27,108,248,2.05,15.2,39800,2280,2520,15.2,46.1,13600,776,1180,8.89,65.2,186.9,3720000
H,400x200x7x11,0.561,396,199,7,11,13,71.41,374,348,M27,90,98,1.55,27.7,19800,999,1110,16.6,31.3,1450,145,223,4.5,44.2,25.12,535000
H,400x200x8x13,0.654,400,200,8,13,13,83.37,374,348,M27,90,100,1.56,23.9,23500,1170,1310,16.8,35.8,1740,174,267,4.56,49.2,39.7,649000
H,400x300x10x16,1.05,390,300,10,16,13,133.2,358,332,M27,110,200,1.94,18.5,37900,1940,2140,16.9,43,7200,480,730,7.35,57.2,100,2520000
H,400x400x13x21,1.72,400,400,13,21,22,218.7,358,314,M27,114,298,2.34,13.6,66600,3330,3670,17.5,62.7,22400,1120,1700,10.1,80.8,303.9,8040000
H,400x400x21x21,1.97,400,408,21,21,22,250.7,358,314,M27,122,306,2.35,12,70900,3540,3990,16.8,93,23800,1170,1800,9.75,88.8,450.4,8540000
H,400x400x18x28,2.32,414,405,18,28,22,295.4,358,314,M27,118,302,2.37,10.2,92800,4480,5030,17.7,86,31000,1530,2330,10.2,99.8,720,11500000
H,400x400x20x35,2.83,428,407,20,35,22,360.7,358,314,M27,120,304,2.41,8.5,119000,5570,6310,18.2,98.2,39400,1930,2940,10.4,116,1320,15200000
H,400x400x30x50,4.15,458,417,30,50,22,528.6,358,314,M27,130,316,2.49,5.99,187000,8170,9540,18.8,149,60500,2900,4440,10.7,156,3930,25100000
H,500x200x9x14,0.779,496,199,9,14,13,99.29,468,442,M24,100,110,1.75,22.4,40800,1650,1870,20.3,48.5,1840,185,288,4.31,52.2,52.89,1070000
H,500x200x10x16,0.882,500,200,10,16,13,112.2,468,442,M24,102,112,1.76,20,46800,1870,2130,20.4,54,2140,214,333,4.36,57.2,76.4,1250000
H,500x300x11x15,1.11,482,300,11,15,13,141.2,452,426,M27,118,200,2.12,19.1,58300,2420,2700,20.3,56.7,6760,450,690,6.92,56.2,95.52,3680000
H,500x300x11x18,1.25,488,300,11,18,13,159.2,452,426,M27,118,200,2.13,17.1,68900,2820,3130,20.8,57.8,8110,540,825,7.14,62.2,144,4470000
H,600x300x12x17,1.33,582,300,12,17,13,169.2,548,522,M27,124,200,2.32,17.5,98900,3400,3820,24.2,73.7,7660,511,786,6.73,61.2,139.3,6110000
H,600x300x12x20,1.47,588,300,12,20,13,187.2,548,522,M27,124,200,2.33,15.9,114000,3890,4350,24.7,74.8,9010,601,921,6.94,67.2,200,7260000
H,600x300x14x23,1.7,594,302,14,23,13,217.1,548,522,M27,126,202,2.35,13.8,134000,4500,5060,24.8,87.4,10600,700,1080,6.98,75.2,306,8610000
H,700x300x13x20,1.63,692,300,13,20,18,207.5,652,616,M27,124,200,2.53,15.5,168000,4870,5500,28.5,97.3,9020,601,930,6.59,74.1,228.2,10200000
H,700x300x13x24,1.82,700,300,13,24,18,231.5,652,616,M27,124,200,2.54,14,197000,5640,6340,29.2,99.3,10800,721,1110,6.83,82.1,342.2,12300000
H,800x300x14x22,1.88,792,300,14,22,18,239.5,748,712,M27,126,200,2.73,14.5,248000,6270,7140,32.2,119,9920,661,1030,6.44,79.1,304.9,14700000
H,800x300x14x26,2.07,800,300,14,26,18,263.5,748,712,M27,126,200,2.74,13.3,286000,7160,8100,33,121,11700,781,1210,6.67,87.1,439.8,17500000
H,900x300x15x23,2.1,890,299,15,23,18,266.9,844,808,M27,126,198,2.92,13.9,339000,7610,8750,35.6,141,10300,687,1080,6.2,82.1,364.7,19300000
H,900x300x16x28,2.4,900,300,16,28,18,305.8,844,808,M27,128,200,2.94,12.2,404000,8990,10300,36.4,152,12600,842,1320,6.43,93.1,581.4,24000000
H,900x300x18x34,2.83,912,302,18,34,18,360.1,844,808,M27,130,202,2.97,10.5,491000,10800,12300,36.9,173,15700,1040,1620,6.59,107,980.8,30100000
W,4x4x13,0.193,106,103,7.1,8.8,6,24.71,88.1,76.1,0,0,0,0.599,30.9,475.9,89.79,103.3,4.39,8.27,160.6,31.19,47.94,2.55,31.73,6.52,3790
W,5x5x16,0.238,127,127,6.1,9.1,8,30.3,109,93,M12,60,70,0.736,30.95,885.5,139.5,157.2,5.41,9.2,311,48.98,74.66,3.2,33.67,8.1,10800
W,5x5x19,0.281,131,128,6.9,10.9,8,35.99,109,93,M12,62,70,0.746,26.42,1099,167.7,190.9,5.53,10.53,381.4,59.6,90.86,3.26,38.03,13.33,13740
W,6x4x9,0.135,150,100,4.3,5.5,6,17.29,138.9,126.9,0,0,0,0.681,50.19,685.5,91.4,102.4,6.29,7.21,91.8,18.36,28.26,2.3,22.35,1.74,4790
W,6x4x12,0.18,153,102,5.8,7.1,6,22.84,138.9,126.9,0,0,0,0.692,38.6,915.9,122.1,138.6,6.33,9.69,125.9,25.37,39.29,2.36,27.47,3.86,6680
W,6x4x16,0.24,160,102,6.6,10.3,6,30.52,138.9,126.9,0,0,0,0.704,29.4,1342,167.8,191.5,6.63,11.43,182.6,35.8,55.24,2.45,34.23,9.35,10210
W,6x6x15,0.225,152,152,5.8,6.6,6,28.42,138.9,126.9,M16,70,82,0.89,39.89,1206,158.6,176.1,6.51,9.59,386.6,50.87,77.56,3.68,26.07,4.34,20420
W,6x6x20,0.298,157,153,6.6,9.3,6,37.9,138.9,126.9,M16,72,84,0.902,30.33,1714,218.4,243.9,6.73,11.17,555.5,72.62,110.5,3.83,32.23,10.16,30280
W,6x6x25,0.371,162,154,8.1,11.6,6,47.28,138.9,126.9,M16,74,84,0.913,24.61,2220,274.1,309.9,6.85,13.93,706.8,91.79,140,3.86,38.36,19.51,39930
W,8x4x10,0.15,200,100,4.3,5.2,8,19.1,190,174,0,0,0,0.778,51.86,1280,128,145.2,8.18,9.8,86.89,17.38,27.1,2.13,24.09,1.93,8220
W,8x4x13,0.193,203,102,5.8,6.5,8,24.83,190,174,0,0,0,0.789,40.46,1662,163.7,188.1,8.17,13.06,115.4,22.63,35.69,2.15,28.21,3.99,11100
W,8x4x15,0.225,206,102,6.2,8,8,28.65,190,174,0,0,0,0.794,35.3,2004,194.5,222.8,8.36,14.14,142,27.85,43.72,2.22,31.59,5.97,13870
W,8x5.25x14,0.214,203,134,5,6.4,8,27.21,190,174,M12,62,76,0.918,42.99,1993,196.3,219,8.56,11.4,257,38.35,58.88,3.07,27.17,3.76,24800
W,8x5.25x18,0.266,207,133,5.8,8.4,8,33.92,190,174,M12,62,76,0.921,34.57,2587,250,279.8,8.72,13.49,329.8,49.6,76.17,3.11,32.01,7.35,32480
W,8x5.25x21,0.313,210,134,6.4,10.2,8,40.02,190,174,M12,64,76,0.929,29.59,3139,298.9,335.3,8.87,14.87,409.6,61.13,93.76,3.2,36.12,12.04,40820
W,8x6.5x24,0.359,201,165,6.2,10.2,10,45.72,181.1,161.1,M16,78,96,1.032,28.77,3438,342.1,379.4,8.67,14.77,764.3,92.64,141.1,4.09,38.34,14.56,69500
W,8x6.5x28,0.417,205,166,7.2,11.8,10,53.1,181.1,161.1,M16,80,96,1.042,25.01,4088,398.8,445.6,8.77,17.21,900.5,108.5,165.5,4.12,42.56,22.39,83950
W,8x8x31,0.461,203,203,7.2,11,10,58.55,181.1,161.1,M24,94,110,1.186,25.81,4545,447.8,495.6,8.81,16.96,1535,151.2,229.5,5.12,40.96,22.27,141300
W,8x8x35,0.52,206,204,7.9,12.6,10,66.55,181.1,161.1,M24,94,110,1.195,22.88,5268,511.5,569,8.9,18.6,1784,174.9,265.5,5.18,44.79,32.41,166700
W,8x8x40,0.59,210,205,9.1,14.2,10,75.6,181.1,161.1,M24,96,112,1.205,20.3,6113,582.2,652.9,8.99,21.59,2040,199.1,302.8,5.19,49.26,46.86,195400
W,8x8x48,0.71,216,206,10.2,17.4,10,91.03,181.1,161.1,M24,98,112,1.218,17.05,7658,709,802.8,9.18,24.52,2537,246.3,374.5,5.28,56.68,82.02,250000
W,8x8x58,0.86,222,209,13,20.6,10,110.5,181.1,161.1,M24,100,116,1.237,14.26,9467,852.9,980.5,9.26,31.06,3138,300.3,458.2,5.33,65.87,140.8,317800
W,8x8x67,1,229,210,14.5,23.7,10,126.7,181.1,161.1,M24,102,116,1.252,12.58,11330,989.1,1149,9.45,35.33,3663,348.9,532.9,5.38,73.6,211.3,385500
W,10x4x12,0.179,251,101,4.8,5.3,8,22.79,240,224,0,0,0,0.883,49.33,2252,179.5,207.8,9.92,13.26,91.34,18.09,28.67,2,24.8,2.5,13740
W,10x4x15,0.223,254,102,5.8,6.9,8,28.56,240,224,0,0,0,0.891,39.73,2901,228.4,264.6,10.06,16.08,122.6,24.03,38.2,2.07,29.01,4.68,18630
W,10x4x17,0.253,257,102,6.1,8.4,8,32.34,240,224,0,0,0,0.896,35.3,3430,266.9,307.5,10.3,17.06,149.2,29.25,46.2,2.15,32.27,6.77,22950
W,10x4x19,0.284,260,102,6.4,10,8,36.31,240,224,0,0,0,0.901,31.63,3998,307.5,352.9,10.51,18.02,177.5,34.81,54.71,2.21,35.72,9.8,27640
W,10x5.75x22,0.327,258,146,6.1,9.1,8,41.75,240,224,M16,72,76,1.074,32.77,4895,379.4,424.9,10.83,17.19,472.6,64.74,99.48,3.36,33.67,10.05,73100
